date,value
2018-08-10T17:26:41,88
2018-08-10T17:04:53,74
2018-08-10T17:42:02,67
2018-08-10T17:48:45,76
2018-08-10T17:52:25,69
2018-08-10T18:00:28,72
2018-08-10T18:05:49,72
2018-08-10T18:17:58,70
2018-08-10T18:09:16,67
2018-08-10T18:21:38,71
2018-08-10T18:25:47,68
2018-08-10T18:28:12,68
2018-08-10T18:32:11,73
2018-08-10T18:41:17,68
2018-08-10T18:43:41,66
2018-08-10T18:47:53,68
2018-08-10T18:53:56,68
2018-08-10T19:01:37,59
2018-08-10T19:03:26,66
2018-08-10T19:08:46,66
2018-08-10T19:14:42,61
2018-08-10T19:21:13,61
2018-08-10T19:22:24,67
2018-08-10T19:30:41,61
2018-08-10T19:34:10,67
2018-08-10T19:40:06,66
2018-08-10T19:42:31,62
2018-08-10T19:51:19,66
2018-08-10T19:56:48,63
2018-08-10T19:58:56,65
2018-08-10T20:13:10,68
2018-08-10T20:13:15,69
2018-08-10T20:13:16,69
2018-08-10T20:13:21,70
2018-08-10T20:13:30,70
2018-08-10T20:13:37,69
2018-08-10T20:13:42,68
2018-08-10T20:13:46,68
2018-08-10T20:13:57,67
2018-08-10T23:56:21,83
2018-08-10T23:58:35,58
2018-08-11T00:03:47,52
2018-08-11T23:17:10,65
2018-08-11T23:23:06,59
2018-08-11T23:30:47,56
2018-08-11T23:33:51,60
2018-08-11T23:40:25,57
2018-08-11T23:42:24,56
2018-08-11T23:48:19,55
2018-08-11T23:52:35,54
2018-08-11T23:58:06,54
2018-08-12T00:05:05,55
2018-08-12T00:07:05,54
2018-08-12T00:14:15,50
2018-08-12T00:17:26,50
2018-08-12T00:22:41,50
2018-08-12T00:27:10,53
2018-08-12T00:32:51,50
2018-08-12T00:38:44,51
2018-08-12T00:42:14,51
2018-08-12T00:47:10,51
2018-08-12T00:52:10,52
2018-08-12T00:57:41,50
2018-08-12T01:03:28,54
2018-08-12T01:07:03,53
2018-08-12T01:12:08,52
2018-08-12T01:18:03,50
2018-08-12T01:22:04,51
2018-08-12T01:27:26,50
2018-08-12T01:32:06,50
2018-08-12T01:38:07,46
2018-08-12T01:43:13,47
2018-08-12T01:47:48,51
2018-08-12T01:52:21,50
2018-08-12T01:57:05,48
2018-08-12T02:02:20,49
2018-08-12T02:07:06,48
2018-08-12T02:12:06,49
2018-08-12T02:17:42,50
2018-08-12T02:22:52,48
2018-08-12T02:30:54,44
2018-08-12T02:33:50,44
2018-08-12T02:37:15,46
2018-08-12T02:42:10,47
2018-08-12T02:47:12,47
2018-08-12T02:52:17,47
2018-08-12T02:59:09,45
2018-08-12T03:06:19,45
2018-08-12T03:07:59,48
2018-08-12T03:12:20,49
2018-08-12T03:17:21,49
2018-08-12T03:22:21,48
2018-08-12T03:27:57,48
2018-08-12T03:35:41,91
2018-08-12T03:32:02,49
2018-08-12T03:37:02,48
2018-08-12T03:42:02,47
2018-08-12T03:47:19,46
2018-08-12T03:52:04,46
2018-08-12T03:57:35,45
2018-08-12T04:03:43,55
2018-08-12T04:08:42,50
2018-08-12T04:15:28,47
2018-08-12T04:17:53,49
2018-08-12T04:22:18,50
2018-08-12T04:28:00,49
2018-08-12T04:33:46,53
2018-08-12T04:37:36,50
2018-08-12T04:42:26,49
2018-08-12T04:47:12,48
2018-08-12T04:52:02,48
2018-08-12T05:00:59,46
2018-08-12T05:02:09,48
2018-08-12T05:08:05,47
2018-08-12T05:12:05,47
2018-08-12T05:17:57,46
2018-08-12T05:22:22,46
2018-08-12T05:27:03,47
2018-08-12T05:32:44,46
2018-08-12T05:37:24,46
2018-08-12T05:42:14,45
2018-08-12T05:47:26,46
2018-08-12T05:52:11,48
2018-08-12T05:57:22,47
2018-08-12T06:02:07,47
2018-08-12T06:08:48,46
2018-08-12T06:12:47,46
2018-08-12T06:17:40,47
2018-08-12T06:22:18,47
2018-08-12T06:27:42,48
2018-08-12T06:35:27,46
2018-08-12T06:37:03,46
2018-08-12T06:42:18,47
2018-08-12T06:47:09,47
2018-08-12T06:52:04,46
2018-08-12T06:57:05,44
2018-08-12T07:02:05,45
2018-08-12T07:09:10,43
2018-08-12T07:13:24,44
2018-08-12T07:17:12,46
2018-08-12T07:22:03,46
2018-08-12T07:27:44,46
2018-08-12T07:32:09,46
2018-08-12T07:37:26,45
2018-08-12T07:42:36,47
2018-08-12T07:47:16,46
2018-08-12T07:52:32,47
2018-08-12T07:57:27,48
2018-08-12T08:05:21,61
2018-08-12T08:07:14,56
2018-08-12T08:20:42,70
2018-08-12T08:23:59,59
2018-08-12T08:31:57,71
2018-08-12T08:37:18,74
2018-08-12T08:46:40,65
2018-08-12T08:48:02,64
2018-08-12T08:56:54,64
2018-08-12T08:58:34,65
2018-08-12T09:07:01,71
2018-08-12T09:10:17,72
2018-08-12T09:13:23,74
2018-08-12T09:17:53,73
2018-08-12T09:26:59,71
2018-08-12T09:30:09,69
2018-08-12T09:33:39,73
2018-08-12T09:41:00,70
2018-08-12T09:45:10,67
2018-08-12T09:47:06,66
2018-08-12T09:52:11,65
2018-08-12T10:00:14,66
2018-08-12T10:03:08,67
2018-08-12T10:10:58,60
2018-08-12T10:13:30,60
2018-08-12T10:18:45,58
2018-08-12T10:25:51,62
2018-08-12T10:27:21,61
2018-08-12T10:32:04,56
2018-08-12T10:41:18,55
2018-08-12T10:44:28,57
2018-08-12T10:51:25,54
2018-08-12T10:55:55,54
2018-08-12T11:01:40,72
2018-08-12T11:26:45,66
2018-08-12T11:30:25,65
2018-08-12T11:35:34,66
2018-08-12T11:40:12,60
2018-08-12T11:42:13,60
2018-08-12T11:47:29,57
2018-08-12T11:53:10,56
2018-08-12T11:57:53,57
2018-08-12T12:03:49,57
2018-08-12T12:08:13,58
2018-08-12T12:14:39,56
2018-08-12T12:18:09,57
2018-08-12T12:25:11,59
2018-08-12T12:31:26,60
2018-08-12T12:35:06,60
2018-08-12T12:38:23,60
2018-08-12T12:42:03,61
2018-08-12T12:48:00,61
2018-08-12T12:52:02,61
2018-08-12T13:04:32,64
2018-08-12T13:14:26,78
2018-08-12T13:21:22,68
2018-08-12T13:23:05,61
2018-08-12T13:28:53,77
2018-08-12T13:35:18,68
2018-08-12T13:38:12,66
2018-08-12T13:45:00,64
